交易日期,开盘,收盘,最高,最低,成交量,成交额(万元)
20220413,13.214805386262682,13.139957526932058,13.372817533738447,13.073426096415945,890628.06,141549.61
20220412,13.347868247294906,13.239754672706225,13.5225132523997,13.02352752352886,1039261.42,165482.01
20220411,13.597361111730326,13.347868247294906,13.638943255802893,13.139957526932058,1416735.36,227746.91
20220408,13.5225132523997,13.638943255802893,13.680525399875464,13.414399677811016,1066779.46,174107.21
20220407,13.622310398173866,13.539146110028728,13.855170404980257,13.472614679512613,1659064.55,272400.29
20220406,13.006894665899834,13.630626826988381,13.755373259206088,12.99857823708532,2488540.05,406405.15
20220401,12.782351087907955,13.098375382859487,13.13164109811754,12.640971798061218,1484878.74,231961.69
20220331,12.55780750991608,12.79066751672247,12.948679664198236,12.524541794658024,1163746.74,178920.99
20220330,12.358213218367744,12.649288226875733,12.699186799762817,12.275048930222605,1236791.55,185961.70
20220329,12.374846075996773,12.208517499706494,12.433061077698369,12.14198606919038,615643.15,90916.96
20220328,12.30831464548066,12.34989678955323,12.51622536584351,12.166935355633925,727136.99,107832.73
20220325,12.599389653988649,12.458010364141913,12.682553942133788,12.324947503109689,742933.35,111635.46
20220324,12.408111791254829,12.640971798061218,12.732452515020872,12.316631074295175,1002359.95,151887.01
20220323,12.566123938730593,12.47464322177094,12.632655369246704,12.3914789336258,1050102.38,157756.13
20220322,12.133669640375867,12.62433894043219,12.657604655690248,12.058821781045241,1628656.58,244317.41
20220321,12.058821781045241,12.133669640375867,12.324947503109689,11.967341064085588,1208868.05,176567.39
20220318,11.942391777642046,12.22515035733552,12.34989678955323,11.75943034372274,1528807.13,222215.88
20220317,12.191884642077465,12.017239636972672,12.233466786150036,11.842594631867879,1730061.42,250650.42
20220316,11.526570336916349,11.900809633569477,11.975657492900103,11.23549532840836,1531779.06,214163.71
20220315,11.975657492900103,11.376874618255096,11.975657492900103,11.310343187738985,1781408.87,247976.96
20220314,12.166935355633925,12.050505352230727,12.416428220069342,12.017239636972672,1118407.34,163727.85
20220311,11.975657492900103,12.3914789336258,12.458010364141913,11.767746772537253,1493646.97,218748.06
20220310,11.792696058980795,12.11703678274684,12.266732501408091,11.717848199650168,2249158.16,326986.78
20220309,11.975657492900103,11.50993747928732,12.017239636972672,10.994318892787456,1800760.17,249204.30
20220308,12.15861892681941,11.900809633569477,12.358213218367744,11.850911060682392,1003032.69,146314.59
20220307,12.616022511617677,12.24178321496455,12.616022511617677,12.191884642077465,1113158.99,165595.99
20220304,12.990261808270805,12.749085372649901,12.99857823708532,12.70750322857733,990935.66,152379.37
20220303,13.081742525230458,13.065109667601432,13.148273955746571,12.99857823708532,578285.05,90817.16
20220302,13.13164109811754,13.04016038115789,13.198172528633654,13.02352752352886,760760.86,119632.19
20220301,13.13164109811754,13.239754672706225,13.264703959149765,12.990261808270805,935040.34,147469.40
20220228,13.223121815077196,13.098375382859487,13.239754672706225,12.990261808270805,723990.45,113715.41
20220225,13.297969674407822,13.223121815077196,13.372817533738447,13.198172528633654,726397.07,115789.03
20220224,13.414399677811016,13.23143824389171,13.431032535440044,13.139957526932058,1324086.85,211284.26
20220223,13.555778967657755,13.464298250698102,13.564095396472267,13.339551818480391,886742.44,143128.99
20220222,13.564095396472267,13.497563965956157,13.67220897106095,13.43934896425456,894956.73,145415.62
20220221,13.855170404980257,13.73042397276255,13.863486833794772,13.572411825286782,800994.55,131602.37
20220218,13.572411825286782,13.94665112193991,13.94665112193991,13.564095396472267,802499.4,133023.34
20220217,13.630626826988381,13.655576113431923,13.763689688020603,13.572411825286782,794501.84,130651.43
